,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
1238,W1238,tightness,T25,0.0008235054949276429,0.0742238234176324,0.0581557869660204,0.0112704464097604,-0.0580865852991078,2,1.44
1247,W1247,widow,T69,0.0031380370395665,0.0564901362137114,0.2254680998438613,0.0178820166576942,0.0838268294017842,3,1.47
1255,W1255,hyper,T69,0.0069238366761517,0.1390715379702289,0.6501980086219319,0.0846966026580254,0.0687474602719262,15,1.65
1260,W1260,illegal,T64,0.010552597546186,3.1490846564983914,0.7639181279500158,0.0566271508857456,0.1023248774411842,9,1.59
1278,W1278,peanut,T69,0.0053541489467587,0.0874490499136912,0.7003881712470407,0.0473285279013383,0.0119820943915694,9,1.55
1279,W1279,mutate,T22,0.0030116227181121,0.0896540257372064,0.3747056673695158,0.0450408087577823,0.0777507138299261,8,1.54
1280,W1280,butter,T69,0.0053436561448369,0.1313676962801725,0.3834078318331238,0.0377030998141356,-0.0848446042004053,7,1.52
1285,W1285,chef,T25,0.0019816965475427,0.5287263079317304,0.2232673307698217,0.038066169161992,0.1103539489748084,7,1.51
1288,W1288,async,T69,0.0030035515083691,-0.17049576576816,0.2295208035843719,0.0248566562534845,-0.1558013115508513,4,1.49
1293,W1293,semi-colon,T64,0.0028889735680092,0.1914412481100739,0.3157498020340377,0.0171149010807222,0.0303107915991894,3,1.46
1295,W1295,rant,T59,0.0017010613646393,0.8076940937006842,0.0922721882274796,0.0178820166576942,0.0838268294017842,3,1.46
1313,W1313,trauma,T61,0.0056671138241872,-0.1678821213508808,0.4276889150513616,0.0263953919425989,-0.1558013115508513,4,1.5
1317,W1317,panic,T59,0.0039818693114388,0.7361989605155248,0.4652517793551293,0.031036135981895,0.0382581896489522,6,1.5
1318,W1318,taekwondo,T79,0.0091925955386329,0.0959569822638123,0.8656934223478467,0.0275628383292037,0.013539033098564,5,1.51
1323,W1323,bulky,T53,0.006045020317098,-0.0977517982573554,0.4819051791607037,0.0183004795898574,0.1535895075931892,3,1.48
1331,W1331,mirror,T5,0.012798775273324,0.3025816112587829,0.7511505529627421,0.073429871667748,0.02917299844567,12,1.65
1334,W1334,timeframe,T79,0.0110246821573482,2.973087365797393,0.6283453911315457,0.0494056367434195,0.5449260242637795,8,1.58
1336,W1336,selfish,T10,0.0075073714836486,-0.1457989911144084,0.6326931382360665,0.0357784500184361,0.1535895075931892,6,1.53
1338,W1338,elevated,T79,0.0094509598579372,-0.1337550999349498,0.6688535614694674,0.0307565045087531,0.0651921306948918,5,1.52
1339,W1339,musician,T73,0.0134020272593465,1.2255158787223637,0.9504808379154364,0.0602720369240643,0.2910188456009447,10,1.61
1343,W1343,medicine,T59,0.0053394315346904,0.1996004561194719,0.4796004423752665,0.0866492967441327,0.0727094235292371,15,1.65
1344,W1344,onset,T69,0.0008397118098378712,0.2275574902969751,0.0532643947732955,0.0112704464097604,-0.0580865852991078,2,1.44
1354,W1354,desperation,T89,0.0016041610540821,-0.1745244047223078,0.0917384689405598,0.0124560249188956,-0.0232052462034053,2,1.45
1365,W1365,repetition,T22,0.0030929888294438,0.0196394089704923,0.3420668872511834,0.0295155324153111,0.0723351670336561,5,1.5
1381,W1381,western,T79,0.0139552975518035,1.016777453046978,0.8209811484355607,0.0547762348979113,0.1911298063345193,9,1.6
1385,W1385,scoop,T64,0.0091751990510808,0.7855704819754941,0.5804190725445371,0.0310542681044255,0.0186836785672885,5,1.52
1388,W1388,overwhelmingly,T47,0.005008989683432,0.1114421364989105,0.6259072951480846,0.0496343791674248,0.0690764581703328,9,1.55
1389,W1389,plow,T49,0.0021727347467517,-0.1584206471357264,0.1371015743375815,0.0124560249188956,-0.0232052462034053,2,1.45
1402,W1402,hoodie,T79,0.0059177886416287,0.1657935669081277,0.3891416384446453,0.0112704464097604,-0.0580865852991078,2,1.46
1413,W1413,nervousness,T79,0.0057192480668899,-0.1538686676820291,0.3696469528633415,0.0124560249188956,-0.0232052462034053,2,1.46
1414,W1414,fullest,T77,0.0010093403917076,0.0069785849530891,0.0767474733033385,0.0112704464097604,-0.0580865852991078,2,1.44
1416,W1416,nap,T77,0.0100441969852391,0.6001234053557631,0.8868343649046945,0.051707772590023,0.1197750892643929,9,1.58
